Index,Keyword,similarity,volume,cpc
1,#greenlanternflag,0.98,-1,-1
2,#greenlanternflame,0.98,-1,-1
3,#greenlanternflash,0.98,-1,-1
4,#greenlanternvize,0.98,-1,-1
5,#greenlanternlife,0.97,-1,-1
6,#greenlanternshin,0.97,-1,-1
7,#greenlanternshow,0.97,-1,-1
8,#greenlanternvite,0.97,-1,-1
9,#greenlanterngardener,0.96,-1,-1
10,#greenlanterninstitute,0.96,-1,-1
11,#greenlantern fnaf,0.94,-1,-1
12,rainbow bridge explosion,0.79,-1,-1
13,melissa barrera,0.77,-1,-1
14,hulu black friday 2023,0.76,-1,-1
15,israel news,0.76,-1,-1
16,macy's thanksgiving day parade,0.75,-1,-1
17,prince harry,0.75,-1,-1
18,seattle mariners,0.75,-1,-1
19,susan sarandon,0.74,-1,-1